1780487276.750,start,-0.8951,7.2913,0.3502,-5.0153,0.2563,-0.4865,0.2498
1780487276.760,start,-0.7810,7.2574,0.3845,-4.9666,0.2576,-0.4962,0.2501
1780487276.770,start,-0.6929,7.2168,0.4362,-4.9639,0.2469,-0.5101,0.2487
1780487276.780,start,-0.6818,7.4067,0.4443,-5.0150,0.2578,-0.5021,0.2480
1780487276.790,start,-0.5878,7.2249,0.5186,-5.0000,0.2567,-0.5026,0.2465
1780487276.800,start,-0.5627,7.4614,0.5193,-5.0911,0.2562,-0.4946,0.2462
1780487276.810,start,-0.6827,7.3460,0.4605,-5.0798,0.2451,-0.4744,0.2459
1780487276.820,start,-0.8093,7.4486,0.3869,-5.1670,0.2469,-0.4654,0.2454
1780487276.830,start,-0.8642,7.4011,0.3381,-5.1807,0.2437,-0.4519,0.2444
1780487276.840,start,-0.8634,7.3597,0.3229,-5.0933,0.2388,-0.4449,0.2451
1780487276.850,start,-0.7644,7.4367,0.3659,-5.1236,0.2411,-0.4602,0.2449
1780487276.860,start,-0.7040,7.3739,0.4134,-5.1293,0.2455,-0.4593,0.2429
1780487276.870,start,-0.5739,7.5172,0.4825,-5.1493,0.2524,-0.4615,0.2416
1780487276.880,start,-0.5130,7.3343,0.5302,-5.0907,0.2518,-0.4841,0.2415
1780487276.890,start,-0.4861,7.3769,0.5495,-5.0851,0.2573,-0.4847,0.2412
1780487276.900,start,-0.6453,7.2421,0.4622,-5.0524,0.2410,-0.4770,0.2408
1780487276.910,start,-0.7465,7.3128,0.3889,-5.1147,0.2462,-0.4777,0.2399
1780487276.920,start,-0.7873,7.2650,0.3605,-5.1153,0.2396,-0.4708,0.2395
1780487276.930,start,-0.7834,7.3947,0.3476,-5.0835,0.2386,-0.4738,0.2401
1780487276.940,start,-0.6946,7.3202,0.3977,-5.0835,0.2350,-0.4930,0.2388
1780487276.950,start,-0.6634,7.4210,0.4285,-5.1301,0.2569,-0.4872,0.2376
1780487276.960,start,-0.5549,7.2661,0.4946,-5.0430,0.2489,-0.4900,0.2378
1780487276.970,start,-0.4745,7.2038,0.5222,-5.0350,0.2498,-0.5035,0.2384
1780487276.980,start,-0.4681,7.1796,0.5454,-5.0484,0.2508,-0.4903,0.2386
1780487276.990,start,-0.6118,7.3221,0.4602,-5.0535,0.2535,-0.4795,0.2391
1780487277.000,start,-0.7852,7.2492,0.3533,-5.0556,0.2303,-0.4862,0.2404
1780487277.010,start,-0.8252,7.2920,0.3113,-5.0697,0.2243,-0.4710,0.2419
1780487277.020,start,-0.8578,7.2417,0.2886,-5.0076,0.2143,-0.4698,0.2423
1780487277.030,start,-0.7793,7.0892,0.3276,-4.9732,0.2280,-0.4832,0.2412
1780487277.040,start,-0.6997,7.2916,0.3947,-5.0312,0.2353,-0.4820,0.2407
1780487277.050,start,-0.5199,7.0823,0.4823,-4.9399,0.2397,-0.4861,0.2410
1780487277.060,start,-0.4288,7.2751,0.5359,-5.0388,0.2437,-0.4953,0.2410
1780487277.071,start,-0.5155,7.3495,0.5095,-5.1093,0.2503,-0.4774,0.2409
1780487277.080,start,-0.6488,7.4210,0.4266,-5.1252,0.2373,-0.4727,0.2420
1780487277.091,start,-0.8344,7.3123,0.2956,-5.1595,0.2236,-0.4702,0.2439
