A_1_center,A_1_front,A_1_left,A_1_right,A_1_back,A_2_center,A_2_front,A_2_left,A_2_right,A_2_back,A_3_center,A_3_front,A_3_left,A_3_right,A_3_back,A_4_center,A_4_front,A_4_left,A_4_right,A_4_back,A_5_center,A_5_front,A_5_left,A_5_right,A_5_back,A_6_center,A_6_front,A_6_left,A_6_right,A_6_back,A_7_center,A_7_front,A_7_left,A_7_right,A_7_back,x,y,z,source_file,Objektname,Objektkategorie,OAufnahme,Schwierigkeit,Gewicht
0.6593,0.7484,0.7174,0.6254,0.1435,8.29,9.4287,7.7645,6.8281,7.7832,1.1217,0.5642,-0.3581,0.6134,1.3753,-6.389,-8.2025,-6.0437,-4.529,-5.9566,0.5491,0.1667,-1.5688,0.3691,2.6621,-0.1691,2.7966,-0.91,-2.2751,-0.8656,0.2649,0.3116,0.3715,0.2093,0.1108,53.33,91.0,30.0,3eck_L_L_7.csv,3eck,2,2,1,443.8
0.4917,0.7134,0.6001,0.7886,-0.1801,6.6862,7.3083,6.1028,5.8778,6.2646,0.5811,0.3521,-0.2291,0.6987,0.8757,-5.1306,-6.3228,-4.7557,-3.8963,-4.8254,0.343,0.1271,-0.9115,0.1631,1.9223,-0.2159,2.0017,-0.8957,-1.8815,-0.7896,0.2784,0.245,0.2967,0.217,0.1879,50.0,31.75,25.0,Rechteck_L_U_1.csv,Rechteck,3,2,1,127.8
0.4746,-0.2284,0.5089,0.7748,-0.09,6.695,7.1289,6.1756,5.8943,6.2698,0.9601,0.6013,-0.3566,0.7251,0.9611,-5.1268,-6.1006,-4.7743,-3.8657,-4.8179,0.3189,0.4996,-1.0298,0.392,1.8957,-0.2349,1.958,-0.9005,-1.8662,-0.7962,0.2682,0.1754,0.2966,0.2705,0.1839,50.0,31.75,25.0,Rechteck_L_U_2.csv,Rechteck,3,2,1,127.8
0.4807,0.8454,0.2004,-0.084,0.1595,6.5933,7.2056,6.1774,5.6903,6.2768,0.8523,0.5116,-0.5646,0.5204,1.1451,-5.0912,-6.1486,-4.8365,-3.8009,-4.7575,0.2903,0.056,-1.0879,0.2426,1.8921,-0.3289,1.9876,-0.9121,-1.8641,-0.8021,0.2782,0.2267,0.2974,0.2394,0.1862,50.0,31.75,25.0,Rechteck_L_U_3.csv,Rechteck,3,2,1,127.8
0.4836,0.238,0.4045,0.4733,-0.0884,6.6019,7.2357,6.0869,5.8594,6.2886,0.9558,0.6089,-0.4057,0.6873,0.9576,-5.1278,-6.2553,-4.7616,-3.8639,-4.8203,0.3353,0.5036,-1.0035,0.5753,1.9325,-0.3162,2.0243,-0.8868,-1.8444,-0.7915,0.2668,0.1985,0.2956,0.2167,0.1784,50.0,31.75,25.0,Rechteck_L_U_4.csv,Rechteck,3,2,1,127.8
0.4955,0.7719,0.4641,0.2501,-0.113,6.6091,7.3846,6.1806,5.8074,6.3011,0.4288,0.32,-0.3585,0.5753,0.9333,-5.0986,-6.3231,-4.8125,-3.8855,-4.8353,0.3233,0.0985,-1.0116,0.2838,1.9043,-0.2513,2.0508,-0.8608,-1.8488,-0.7765,0.2732,0.2305,0.3047,0.2233,0.1865,50.0,31.75,25.0,Rechteck_L_U_5.csv,Rechteck,3,2,1,127.8
0.5524,-0.1933,0.3317,0.8537,0.1864,6.5837,7.2092,6.2114,5.7069,6.2845,0.5365,-0.1292,-0.4986,0.5931,1.1338,-5.0908,-6.1721,-4.82,-3.8386,-4.8529,0.3186,0.3415,-1.0601,0.1766,1.9446,-0.2653,2.0009,-0.8911,-1.8419,-0.7884,0.2731,0.1774,0.2989,0.2761,0.1804,50.0,31.75,25.0,Rechteck_L_U_6.csv,Rechteck,3,2,1,127.8
0.4483,0.5511,0.6496,0.2231,0.1088,6.6259,7.127,6.1175,5.7604,6.2162,0.827,0.4317,-0.2075,0.5582,1.0752,-5.1501,-6.1231,-4.8203,-3.7945,-4.7242,0.2648,0.2904,-1.0143,0.151,1.8668,-0.2453,1.9801,-0.8501,-1.7613,-0.7992,0.2746,0.1923,0.3005,0.2392,0.1797,50.0,31.75,25.0,Rechteck_L_U_7.csv,Rechteck,3,2,1,127.8
0.516,0.6344,0.3576,0.0363,0.001,6.598,7.2304,6.299,5.8599,6.2214,0.6114,-0.02,-0.5408,0.5489,0.9784,-5.0835,-6.1716,-4.8363,-3.8723,-4.7709,0.3164,0.0903,-1.0599,0.2474,1.8894,-0.3346,1.9803,-0.8943,-1.821,-0.8099,0.2684,0.2356,0.2775,0.2217,0.1861,31.75,50.0,25.0,Rechteck_L_L_1.csv,Rechteck,3,2,1,127.8
0.5481,0.732,0.3435,0.837,-0.0515,6.6366,7.1437,6.1922,5.7578,6.2408,1.0658,0.5991,-0.4843,0.6949,0.9288,-5.1293,-6.2014,-4.821,-3.8163,-4.8084,0.2878,0.0604,-1.0546,0.3112,1.8988,-0.2997,1.9829,-0.8729,-1.8726,-0.7743,0.2648,0.246,0.2945,0.2792,0.1742,31.75,50.0,25.0,Rechteck_L_L_2.csv,Rechteck,3,2,1,127.8
